id,title,vote_average,vote_count,popularity,year,month,day,weighted_rating,is_sequel,engagement_score,popularity_tier
105,Back to the Future,8.322,21038,20.7139,1985,7,3,8.143571007572536,0,172.38107579999996,Platinum
1184918,The Wild Robot,8.319,5470,18.2738,2024,9,12,7.797943310512676,0,152.01974220000002,Platinum
15804,A Brighter Summer Day,8.3,362,5.2058,1991,7,27,6.9014120748248455,0,43.20814,Gold
820067,The Quintessential Quintuplets Movie,8.315,424,5.102,2022,5,20,6.932044134909384,0,42.42313,Gold
372754,Dou kyu sei – Classmates,8.309,418,4.6273,2016,2,20,6.928480708187796,0,38.4482357,Gold
3782,Ikiru,8.3,1252,5.829,1952,10,9,7.223350636123699,0,48.380700000000004,Platinum
10494,Perfect Blue,8.3,2965,11.5598,1998,2,28,7.553905957541792,0,95.94634,Platinum
207,Dead Poets Society,8.301,12013,10.6628,1989,6,2,8.016235004136666,0,88.5119028,Platinum
101,Léon: The Professional,8.3,15544,11.1279,1994,9,14,8.070753089452193,0,92.36157000000001,Platinum
1186532,The Forge,8.299,303,2.4152,2024,8,22,6.873023890967531,0,20.0437448,Silver
652837,"Josee, the Tiger and the Fish",8.295,548,20.7386,2020,12,25,6.982805116211949,0,172.026687,Platinum
914,The Great Dictator,8.29,3551,2.3404,1940,10,15,7.619060060905808,0,19.401915999999996,Silver
599,Sunset Boulevard,8.29,2784,3.4501,1950,8,10,7.523733495018647,0,28.601328999999996,Gold
533514,Violet Evergarden: The Movie,8.3,464,4.4998,2020,9,18,6.947753020890291,0,37.34834,Gold
1139087,Once Upon a Studio,8.3,405,3.4347,2023,9,24,6.9213297011024295,0,28.508010000000002,Gold
644479,Dedicated to my ex,8.3,512,3.0592,2019,11,1,6.968514233466182,0,25.391360000000002,Silver
1356039,Counterattack,8.282,758,10.6269,2025,2,27,7.06159379062646,0,88.01198579999999,Platinum
42269,We All Loved Each Other So Much,8.282,623,1.4617,1974,12,21,7.010702693367724,0,12.1057994,Bronze
3082,Modern Times,8.282,3912,8.6121,1936,2,5,7.651377007156881,0,71.3254122,Platinum
335,Once Upon a Time in the West,8.278,4661,6.569,1968,12,21,7.713736825399108,0,54.378182,Platinum
1585,It's a Wonderful Life,8.275,4634,21.6306,1946,12,20,7.70971702713822,0,178.99321500000002,Platinum
92321,Hotarubi no Mori e,8.272,1174,0.0069,2011,9,17,7.192506308602226,0,0.057076800000000004,Bronze
77338,The Intouchables,8.272,17932,8.623,2011,11,2,8.072960075707115,0,71.329456,Platinum
18491,Neon Genesis Evangelion: The End of Evangelion,8.3,1741,14.1874,1997,7,19,7.344230816804122,0,117.75542000000002,Platinum
28,Apocalypse Now,8.271,8718,6.702,1979,5,19,7.910357991202983,0,55.432242,Platinum
632632,Given,8.268,408,4.1991,2020,8,22,6.91837840772521,0,34.7181588,Gold
901,City Lights,8.264,2342,8.0215,1931,2,6,7.443114135160332,0,66.28967599999999,Platinum
975,Paths of Glory,8.3,3119,3.0593,1957,10,25,7.573946157517123,0,25.392190000000003,Silver
8587,The Lion King,8.256,19132,13.5569,1994,6,15,8.069866961865351,0,111.92576640000001,Platinum
637920,Miracle in Cell No. 7,8.255,4497,3.331,2019,10,10,7.686179641070488,0,27.497405,Silver
568332,Taylor Swift: Reputation Stadium Tour,8.258,414,3.4455,2018,12,31,6.919685279193195,0,28.452938999999997,Gold
29259,Le Trou,8.253,528,4.2629,1960,3,18,6.967396543886416,0,35.1817137,Gold
630566,Clouds,8.2,1034,3.1399,2020,10,9,7.130677255648687,0,25.747179999999997,Silver
10376,The Legend of 1900,8.2,2358,3.7016,1998,10,28,7.415405618918163,0,30.353119999999997,Gold
670,Oldboy,8.246,9329,11.2568,2003,11,21,7.909280179807147,0,92.82357280000001,Platinum
572154,Rascal Does Not Dream of a Dreaming Girl,8.242,566,4.6325,2019,6,15,6.980799553360795,0,38.181065000000004,Gold
447362,Life in a Year,8.241,1941,6.6551,2020,11,27,7.361053672456572,0,54.8446791,Platinum
504253,I Want to Eat Your Pancreas,8.2,1679,6.9905,2018,9,1,7.2913222386706735,0,57.32209999999999,Platinum
299534,Avengers: Endgame,8.237,26900,13.8528,2019,4,24,8.101539008060765,0,114.10551360000001,Platinum
299536,Avengers: Infinity War,8.235,31112,23.917,2018,4,25,8.116611405294034,0,196.956495,Platinum
603,The Matrix,8.235,26963,19.8696,1999,3,31,8.100004324230955,0,163.62615599999998,Platinum
803796,KPop Demon Hunters,8.23,1842,107.9038,2025,6,20,7.336958733396615,0,888.0482740000001,Platinum
508965,Klaus,8.231,4385,5.7136,2019,11,8,7.6620421606864415,0,47.02864159999999,Platinum
527641,Five Feet Apart,8.227,5799,6.4647,2019,3,14,7.7549071599482575,0,53.1850869,Platinum
654299,Out of the Clear Blue Sky,8.225,364,1.4656,2019,12,24,6.89318523351755,0,12.05456,Bronze
490132,Green Book,8.225,12351,12.4925,2018,11,16,7.959943462888306,0,102.7508125,Platinum
25237,Come and See,8.223,1694,5.8233,1985,10,17,7.30352912902903,0,47.8849959,Platinum
857,Saving Private Ryan,8.221,16628,9.7321,1998,7,24,8.015400932290602,0,80.0075941,Platinum
98,Gladiator,8.22,20197,13.8894,2000,5,4,8.046682926059281,0,114.17086800000001,Platinum
110420,Wolf Children,8.219,2391,5.8949,2012,7,21,7.429654353200277,0,48.4501831,Platinum
24188,Il Sorpasso,8.219,812,2.8938,1962,12,5,7.065897414052262,0,23.784142199999998,Silver
995133,"The Boy, the Mole, the Fox and the Horse",8.217,667,4.1398,2022,12,25,7.014537057203838,0,34.0167366,Gold
265177,Mommy,8.2,2787,2.2143,2014,9,19,7.477721127764777,0,18.15726,Bronze
37257,Witness for the Prosecution,8.2,1572,3.6804,1957,12,17,7.268097386658864,0,30.17928,Gold
92060,Michael Jackson's Thriller,8.2,726,4.2517,1983,11,14,7.032080858432725,0,34.86393999999999,Gold
16869,Inglourious Basterds,8.214,23369,15.2618,2009,8,2,8.062444826293275,0,125.3604252,Platinum
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,8.209,4308,14.2912,2020,10,16,7.642022260994549,0,117.31646079999999,Platinum
315162,Puss in Boots: The Last Wish,8.2,8471,11.6971,2022,12,7,7.84806708819787,0,95.91622,Platinum
618344,Justice League Dark: Apokolips War,8.207,1523,3.5757,2020,5,5,7.259637429184675,0,29.3457699,Gold
694,The Shining,8.206,18311,12.2192,1980,5,23,8.018811057351767,0,100.2707552,Platinum
441130,Wolfwalkers,8.206,1304,3.7659,2020,10,26,7.206356395342148,0,30.902975399999995,Gold
50014,The Help,8.205,8734,10.2175,2011,8,9,7.860071278727281,0,83.8345875,Platinum
1124,The Prestige,8.204,16921,8.9953,2006,10,17,8.00375968239753,0,73.79744120000001,Platinum
11,Star Wars,8.204,21620,15.0949,1977,5,25,8.042585865526222,0,123.83855960000001,Platinum
11324,Shutter Island,8.201,25015,11.6043,2010,2,14,8.059703717761105,0,95.16686430000001,Platinum
354912,Coco,8.2,20393,69.1344,2017,10,27,8.030432074007,0,566.90208,Platinum
829402,Ultraman: Rising,8.199,352,4.8212,2024,6,14,6.88471241218604,0,39.5290188,Gold
16672,Woman in the Dunes,8.2,495,5.1592,1964,2,15,6.94531514102678,0,42.30544,Gold
290098,The Handmaiden,8.197,4078,16.1696,2016,6,1,7.61522456809346,0,132.54221119999997,Platinum
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,8.2,881,24.4209,2021,3,8,7.0838710589656895,1,200.25137999999998,Platinum
284,The Apartment,8.197,2497,4.5236,1960,6,21,7.435276421236583,0,37.079949199999994,Gold
313106,Doctor Who: The Day of the Doctor,8.193,762,0.719,2013,11,23,7.042953707945941,0,5.890766999999999,Bronze
324786,Hacksaw Ridge,8.192,14401,11.1295,2016,10,7,7.9639476532734275,0,91.172864,Platinum
522924,The Art of Racing in the Rain,8.19,1598,9.3094,2019,8,8,7.27005576381841,0,76.24398599999999,Platinum
1160164,TAYLOR SWIFT | THE ERAS TOUR,8.189,479,2.011,2023,10,13,6.937122227810394,0,16.468079,Bronze
68718,Django Unchained,8.185,27213,11.5786,2012,12,25,8.055518345531581,0,94.770841,Platinum
185,A Clockwork Orange,8.183,13433,9.1587,1971,12,19,7.942657495887723,0,74.9456421,Platinum
620683,My Mom Is a Character 3,8.181,487,1.9581,2019,12,26,6.939095214905744,1,16.019216099999998,Bronze
77,Memento,8.177,15649,9.6641,2000,10,11,7.9666784880968855,0,79.0233457,Platinum
476292,Maquia: When the Promised Flower Blooms,8.176,677,3.3788,2018,2,24,7.009757215625166,0,27.6250688,Gold
5156,Bicycle Thieves,8.174,2547,2.1804,1948,7,21,7.4313056340350805,0,17.8225896,Bronze
629,The Usual Suspects,8.172,10947,7.2503,1995,7,19,7.889719859270332,0,59.24945160000001,Platinum
490,The Seventh Seal,8.2,3199,3.7659,1957,2,16,7.528909570906642,0,30.880379999999995,Gold
537061,Steven Universe: The Movie,8.166,829,2.1168,2019,10,7,7.058830487166368,0,17.285788800000002,Bronze
361743,Top Gun: Maverick,8.167,10317,16.3041,2022,5,21,7.871978432304984,0,133.1555847,Platinum
348,Alien,8.166,15723,14.0771,1979,5,25,7.958095526056512,0,114.9535986,Platinum
18148,Tokyo Story,8.2,1155,3.7465,1953,11,3,7.1650031568707675,0,30.7213,Gold
26451,Investigation of a Citizen Above Suspicion,8.162,845,0.8983,1970,10,16,7.06297418613305,0,7.331924600000001,Bronze
20941,Innocent Voices,8.2,508,1.4079,2005,1,28,6.950538976271033,0,11.544779999999998,Bronze
1422,The Departed,8.159,15641,8.8023,2006,10,4,7.951164143185506,0,71.81796570000002,Platinum
111,Scarface,8.159,12548,9.9368,1983,12,9,7.9087674048639185,0,81.07435120000001,Platinum
489,Good Will Hunting,8.157,13231,10.3483,1997,12,5,7.917883417238358,0,84.4110831,Platinum
289,Casablanca,8.156,5777,4.6668,1943,1,15,7.704790011143393,0,38.062420800000005,Gold
851644,20th Century Girl,8.155,773,8.1631,2022,10,6,7.038016738356459,1,66.57008049999999,Platinum
426,Vertigo,8.2,6078,7.703,1958,5,28,7.751180675015952,0,63.1646,Platinum
81481,Silenced,8.153,721,6.409,2011,9,22,7.020170264288743,0,52.252577,Platinum
399106,Piper,8.152,1685,2.86,2016,6,16,7.273778410826783,0,23.314719999999998,Silver
37165,The Truman Show,8.148,19455,12.7879,1998,6,4,7.977385107864675,0,104.1958092,Platinum
10098,The Kid,8.147,2257,4.4916,1921,1,21,7.374582645545155,0,36.5930652,Gold
592350,My Hero Academia: Heroes Rising,8.1,1234,5.0355,2019,12,20,7.1541843102350775,0,40.787549999999996,Gold
872,Singin' in the Rain,8.144,3342,4.0595,1952,4,10,7.513600647959954,0,33.060567999999996,Gold
606856,Togo,8.143,2143,5.3344,2019,12,20,7.354271639868137,0,43.4380192,Gold
517814,Capernaum,8.141,1863,5.0279,2018,9,20,7.304115312348388,0,40.9321339,Gold
458220,Palmer,8.14,1817,7.0914,2021,1,28,7.295018030308407,0,57.72399600000001,Platinum
797,Persona,8.1,2323,3.7877,1966,10,18,7.362794770427486,0,30.68037,Gold
666,Central Station,8.139,997,2.2126,1998,4,3,7.102881403197838,0,18.0083514,Bronze
575813,Better Days,8.135,516,7.5405,2019,10,25,6.943017793096304,0,61.341967499999996,Platinum
280,Terminator 2: Judgment Day,8.134,13677,10.931,1991,7,3,7.90512054823457,1,88.91275399999999,Platinum
823219,Flow,8.132,2420,20.3479,2024,8,29,7.392380998631152,0,165.46912279999998,Platinum
103,Taxi Driver,8.133,12958,21.5769,1976,2,9,7.8937207430780525,0,175.48492769999996,Platinum
693134,Dune: Part Two,8.1,7171,13.4399,2024,2,27,7.728029809666306,1,108.86318999999999,Platinum
1103621,How to Make Millions Before Grandma Dies,8.131,316,6.3788,2024,4,4,6.86123358569092,0,51.8660228,Platinum
475557,Joker,8.131,26945,13.2059,2019,10,1,8.0051204658927,0,107.3771729,Platinum
20914,My Friends,8.13,725,1.6673,1975,10,24,7.016533778375957,0,13.555149000000002,Bronze
9702,Bound by Honor,8.13,1459,16.2351,1993,2,5,7.217173098519339,0,131.991363,Platinum
